Micrometer,Absorbance
0.6171548,1.848742324
0.6235835,1.845383136
0.6278693,1.854813673
0.6385838,1.852333722
0.6450125,1.855332116
0.6535841,1.855124665
0.6600128,1.850790913
0.6685844,1.849151269
0.6750131,1.84507904
0.677156,1.846703352
0.6878705,1.847314039
0.6964421,1.844572685
0.7028708,1.836550291
0.7114424,1.838542039
0.7157282,1.844876427
0.7242998,1.84507904
0.7350143,1.845890437
0.741443,1.839041407
0.7500146,1.846906819
0.7585862,1.841345923
0.7671578,1.844977721
0.7735865,1.848231683
0.7821581,1.849355887
0.7907297,1.840142041
0.7993013,1.838242694
0.80573,1.851304574
0.8143016,1.848742324
0.827159,1.848129627
0.8335877,1.846093523
0.8443022,1.840944258
0.8507309,1.847415904
0.8593025,1.849867852
0.8743028,1.849355887
0.8807315,1.856370864
0.891446,1.852849212
0.9021605,1.848844524
0.9107321,1.846398331
0.9193037,1.844370309
0.9300182,1.847823602
0.9428756,1.841848527
0.9535901,1.844572685
0.9643046,1.845788929
0.9750191,1.847925586
0.9857336,1.844066921
0.998591,1.849355887
1.0071626,1.846906819
1.0221629,1.846398331
1.0307345,1.843057155
1.041449,1.845788929
1.0543064,1.844775156
1.062878,1.847517793
1.0800212,1.847314039
1.0885928,1.845687445
1.1014502,1.84245242
1.1185934,1.842150369
1.127165,1.842956307
1.1400224,1.841647415
1.1528798,1.8408439
1.1657372,1.843561744
1.1764517,1.842553151
1.191452,1.846398331
1.2043094,1.848129627
1.2171668,1.849253566
1.2321671,1.848844524
1.2450245,1.844471485
1.2578819,1.845180381
1.2728822,1.847925586
1.2857396,1.849151269
1.3028828,1.848231683
1.3157402,1.846398331
1.3307405,1.844977721
1.3457408,1.852333722
1.3607411,1.84325892
1.3735985,1.839341303
1.3885988,1.840643253
1.4035991,1.838442235
1.4185994,1.840041868
1.4185994,1.840142041
1.4378855,1.839841591
1.4507429,1.839141349
1.4507429,1.839241315
1.470029,1.841949117
1.4807435,1.844269156
1.4978867,1.846906819
1.5171728,1.84386478
1.534316,1.842351713
1.5471734,1.849458231
1.5643166,1.848640148
1.5793169,1.850996305
1.598603,1.851510209
1.6157462,1.849970317
1.6350323,1.850380422
1.6500326,1.856162916
1.6714616,1.853985448
1.6907477,1.855435879
1.7078909,1.857099469
1.7250341,1.850072807
1.7443202,1.847823602
1.7614634,1.850996305
1.7807495,1.853882031
1.8000356,1.851407379
1.8193217,1.85367527
1.8386078,1.84245242
1.8578939,1.847925586
1.8793229,1.842653905
1.898609,1.845383136
1.9221809,1.844775156
1.941467,1.839641407
1.9607531,1.845991968
1.984325,1.839041407
2.0036111,1.848844524
2.027183,1.849765411
2.048612,1.855124665
2.070041,1.865833119
2.0936129,1.86181277
2.112899,1.866684271
2.1386138,1.85585118
2.1600428,1.847925586
2.1793289,1.853468608
2.2071866,1.861076222
2.2264727,1.853262045
2.2521875,1.858978655
2.2757594,1.846195102
2.2993313,1.839441315
2.3250461,1.839141349
2.3507609,1.847619705
2.3743328,1.834172188
2.4000476,1.844471485
2.4257624,1.848231683
2.4514772,1.833086561
2.477192,1.844066921
2.5286216,1.834369866
2.6079089,1.832790951
2.6379095,1.840643253
2.6679101,1.853778638
2.6957678,1.850072807
2.7193397,1.849151269
2.7514832,1.837943555
2.7814838,1.859187957
